 [ 6.70530e-02  9.27900e-03  3.36811e-01]
 [ 6.66820e-02  4.99100e-03  3.34912e-01]
 [ 6.66530e-02  1.43900e-03  3.32945e-01]
 [ 6.68990e-02 -2.22400e-03  3.31137e-01]
 [ 6.75440e-02 -6.85300e-03  3.29182e-01]
 [ 6.91870e-02 -9.27800e-03  3.27328e-01]
 [ 7.11980e-02 -1.20460e-02  3.25572e-01]
 [ 7.40880e-02 -1.34590e-02  3.23653e-01]
 [ 7.73770e-02 -1.50560e-02  3.22063e-01]
 [ 8.11240e-02 -1.56160e-02  3.20731e-01]
 [ 8.45500e-02 -1.63490e-02  3.19520e-01]
 [ 8.77690e-02 -1.72430e-02  3.18610e-01]
 [ 9.10480e-02 -1.81460e-02  3.17921e-01]
 [ 9.43200e-02 -1.85170e-02  3.17402e-01]
 [ 9.75720e-02 -1.88690e-02  3.17031e-01]
 [ 1.00431e-01 -1.93420e-02  3.16774e-01]
 [ 1.03704e-01 -1.94980e-02  3.16582e-01]
 [ 1.06250e-01 -2.03490e-02  3.16441e-01]
 [ 1.08969e-01 -2.06060e-02  3.16333e-01]
 [ 1.11939e-01 -2.07420e-02  3.16248e-01]
 [ 1.13886e-01 -2.12030e-02  3.16180e-01]
 [ 1.16372e-01 -2.16580e-02  3.16125e-01]
 [ 1.18966e-01 -2.19000e-02  3.16080e-01]
 [ 1.20601e-01 -2.23620e-02  3.16043e-01]
 [ 1.22675e-01 -2.24260e-02  3.16014e-01]
 [ 1.23703e-01 -2.26530e-02  3.15994e-01]
 [ 1.24373e-01 -2.27020e-02  3.15985e-01]
 [ 1.24906e-01 -2.22450e-02  3.15988e-01]
 [ 1.25080e-01 -2.13180e-02  3.16030e-01]
 [ 1.25039e-01 -2.00590e-02  3.16196e-01]
 [ 1.25042e-01 -1.69030e-02  3.16661e-01]
 [ 1.24999e-01 -1.31580e-02  3.17444e-01]
 [ 1.25131e-01 -7.53300e-03  3.18447e-01]
 [ 1.25148e-01 -3.91100e-03  3.19591e-01]
 [ 1.25204e-01  2.72000e-04  3.20946e-01]
 [ 1.25401e-01  5.36300e-03  3.22266e-01]
 [ 1.25399e-01  8.16800e-03  3.23937e-01]
 [ 1.25699e-01  1.24230e-02  3.25341e-01]
 [ 1.26045e-01  1.81510e-02  3.26813e-01]
 [ 1.26360e-01  2.36700e-02  3.28380e-01]
 [ 1.26590e-01  2.84830e-02  3.30457e-01]
 [ 1.26958e-01  3.41230e-02  3.33050e-01]
 [ 1.27055e-01  3.78900e-02  3.35099e-01]
 [ 1.27089e-01  4.29020e-02  3.37237e-01]
 [ 1.27258e-01  5.00690e-02  3.39768e-01]
 [ 1.27314e-01  5.44220e-02  3.42761e-01]
 [ 1.27552e-01  5.90620e-02  3.45436e-01]
 [ 1.27452e-01  6.18680e-02  3.48028e-01]
 [ 1.27469e-01  6.57960e-02  3.50143e-01]
 [ 1.27676e-01  6.86760e-02  3.51975e-01]
 [ 1.28624e-01  7.24870e-02  3.53759e-01]
 [ 1.30289e-01  7.57730e-02  3.55228e-01]
 [ 1.32070e-01  7.69070e-02  3.56231e-01]
 [ 1.32952e-01  7.59560e-02  3.56871e-01]
 [ 1.33493e-01  7.07940e-02  3.57265e-01]
 [ 1.33518e-01  6.31770e-02  3.57485e-01]
 [ 1.33053e-01  5.33820e-02  3.57459e-01]
 [ 1.32090e-01  4.63160e-02  3.56817e-01]
 [ 1.30980e-01  3.86640e-02  3.54672e-01]
 [ 1.29671e-01  3.00860e-02  3.51434e-01]
 [ 1.28267e-01  2.11820e-02  3.46980e-01]
 [ 1.26547e-01  1.17590e-02  3.42021e-01]
 [ 1.24760e-01  2.68300e-03  3.36765e-01]
 [ 1.23477e-01 -2.36700e-03  3.32016e-01]
 [ 1.21295e-01 -1.27190e-02  3.27258e-01]
 [ 1.19558e-01 -2.12370e-02  3.22971e-01]
 [ 1.17757e-01 -3.14130e-02  3.18278e-01]
 [ 1.16925e-01 -3.83650e-02  3.13512e-01]
 [ 1.16730e-01 -4.59210e-02  3.09611e-01]
 [ 1.17492e-01 -4.74680e-02  3.04465e-01]
 [ 1.17500e-01 -5.33790e-02  3.00798e-01]
 [ 1.17643e-01 -5.77140e-02  2.97569e-01]
 [ 1.18252e-01 -6.06710e-02  2.94667e-01]
 [ 1.19190e-01 -6.31040e-02  2.92128e-01]
 [ 1.20549e-01 -6.48440e-02  2.89865e-01]
 [ 1.22007e-01 -6.60810e-02  2.87845e-01]
 [ 1.23238e-01 -6.73690e-02  2.86134e-01]
 [ 1.24233e-01 -6.79180e-02  2.84800e-01]
 [ 1.24827e-01 -6.84510e-02  2.83727e-01]
 [ 1.25240e-01 -6.91940e-02  2.82801e-01]
 [ 1.25826e-01 -6.92400e-02  2.81998e-01]
 [ 1.26103e-01 -6.93800e-02  2.81276e-01]
 [ 1.26375e-01 -6.95560e-02  2.80679e-01]
 [ 1.26502e-01 -6.98160e-02  2.80143e-01]
 [ 1.26548e-01 -7.02490e-02  2.79681e-01]
 [ 1.26768e-01 -7.02710e-02  2.79268e-01]
 [ 1.26849e-01 -7.04540e-02  2.78912e-01]
 [ 1.26905e-01 -7.07540e-02  2.78601e-01]
 [ 1.27055e-01 -7.08550e-02  2.78318e-01]]
[[ 0.018762  0.056202  0.334956]
 [ 0.018761  0.055904  0.335001]
 [ 0.018662  0.056073  0.335046]
 [ 0.018572  0.056273  0.33509 ]
 [ 0.0185    0.056515  0.335134]
 [ 0.018485  0.056501  0.335178]
 [ 0.018506  0.05651   0.335219]
 [ 0.018527  0.056623  0.335258]
 [ 0.018584  0.056606  0.335295]
 [ 0.018453  0.057098  0.33533 ]
 [ 0.018401  0.057169  0.335364]
 [ 0.018236  0.057137  0.335394]
 [ 0.018009  0.057133  0.335419]
 [ 0.017046  0.05728   0.335445]
 [ 0.014788  0.058015  0.335506]
 [ 0.011307  0.058522  0.335623]
 [ 0.007627  0.058521  0.335737]
 [ 0.001772  0.058647  0.335849]
 [-0.004285  0.058635  0.335948]
 [-0.011438  0.058694  0.33603 ]
